CommodityName,CommodityCode,CommodityGroupCode,CommodityGroupName
Lesser Yam,497,6,Vegetables
Lilly,325,14,Flowers
Lime,151,5,Fruits
Limonia(status),399,14,Flowers
Linseed,56,3,Oil Seeds
Lint,233,4,Fibre Crops
Litchi,299,5,Fruits
Little Millet ,498,1,Cereals
Little gourd(Kundru),253,6,Vegetables
Long Melon(Kakri),255,6,Vegetables
Lotus,332,14,Flowers
Lotus Sticks,287,6,Vegetables
Lukad,285,5,Fruits
Lupine,408,14,Flowers
Ma.Inji,433,10,Others
Mace,91,7,Spices
Mahedi,340,10,Others
Mahua,283,11,Drug and Narcotics
Mahua Seed(Hippe seed),318,12,Forest Products
Maida Atta,241,10,Others
Maize,4,1,Cereals
Mango,20,5,Fruits
Mango(Raw-Ripe),144,6,Vegetables
Mangosteen,499,5,Fruits
Maragensu,184,10,Others
Marasebu,152,5,Fruits
Marget,336,14,Flowers
Marigold(Calcutta),193,14,Flowers
Marigold(loose),334,14,Flowers
Marikozhunthu,431,14,Flowers
Mash,49,10,Others
Mashrooms,288,6,Vegetables
Masur Dal,213,2,Pulses
Mataki,79,2,Pulses
Meal Maker (Soya Chunks),500,6,Vegetables
Mentha Oil,501,11,Drug and Narcotics
Methi Seeds,43,7,Spices
Methi(Leaves),42,6,Vegetables
Millets,195,10,Others
Mint(Pudina),307,6,Vegetables
Moath Dal,452,2,Pulses
Mousambi(Sweet Lime),64,5,Fruits
Muesli,375,11,Drug and Narcotics
Mulberry,502,5,Fruits
Muleti,357,11,Drug and Narcotics
Muskmelon Seeds,445,7,Spices
Mustard,12,3,Oil Seeds
Mustard Oil,274,15,Oils and Fats
Myrobolan(Harad),120,11,Drug and Narcotics
